entry_id,redox_couple,oxidized_species,reduced_species,E0_V_vs_SHE,pH,temperature_K,oxidized_MP_ID,reduced_MP_ID,oxidized_spacegroup,reduced_spacegroup,oxidized_crystal_system,reduced_crystal_system,reference_DOI,half_reaction
1,Li+/Li,Li+,Li,-3.04,0.0,298.15,mp-2664,mp-1018,Im-3m,Im-3m,Cubic,Cubic,10.1063/1.555839,Li+ + ne- -> Li
2,K+/K,K+,K,-2.931,0.0,298.15,mp-1353,mp-1018,Im-3m,Im-3m,Cubic,Cubic,10.1063/1.555839,K+ + ne- -> K
3,Rb+/Rb,Rb+,Rb,-2.98,0.0,298.15,mp-1353,mp-1018,Im-3m,Im-3m,Cubic,Cubic,10.1063/1.555839,Rb+ + ne- -> Rb
4,Cs+/Cs,Cs+,Cs,-3.026,0.0,298.15,mp-1352,mp-1018,Im-3m,Im-3m,Cubic,Cubic,10.1063/1.555839,Cs+ + ne- -> Cs
5,Ba2+/Ba,Ba2+,Ba,-2.912,0.0,298.15,mp-1526,mp-1018,Im-3m,Im-3m,Cubic,Cubic,10.1063/1.555839,Ba2+ + ne- -> Ba
6,Sr2+/Sr,Sr2+,Sr,-2.899,0.0,298.15,mp-1525,mp-1018,Im-3m,Im-3m,Cubic,Cubic,10.1063/1.555839,Sr2+ + ne- -> Sr
7,Ca2+/Ca,Ca2+,Ca,-2.868,0.0,298.15,mp-1524,mp-1018,Im-3m,Im-3m,Cubic,Cubic,10.1063/1.555839,Ca2+ + ne- -> Ca
8,Na+/Na,Na+,Na,-2.71,0.0,298.15,mp-1018,mp-1018,Im-3m,Im-3m,Cubic,Cubic,10.1063/1.555839,Na+ + ne- -> Na
9,Mg2+/Mg,Mg2+,Mg,-2.372,0.0,298.15,mp-153,mp-1104,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Mg2+ + ne- -> Mg
10,Be2+/Be,Be2+,Be,-1.847,0.0,298.15,mp-1523,mp-87,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Be2+ + ne- -> Be
11,Al3+/Al,Al3+,Al,-1.662,0.0,298.15,mp-2664,mp-134,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Al3+ + ne- -> Al
12,Mn2+/Mn,Mn2+,Mn,-1.18,0.0,298.15,mp-19017,mp-1018,Pnma,I-43m,Orthorhombic,Cubic,10.1063/1.555839,Mn2+ + ne- -> Mn
13,Zn2+/Zn,Zn2+,Zn,-0.762,0.0,298.15,mp-794,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Zn2+ + ne- -> Zn
14,Cr3+/Cr,Cr3+,Cr,-0.744,0.0,298.15,mp-19317,mp-90,R-3c,Im-3m,Rhombohedral,Cubic,10.1063/1.555839,Cr3+ + ne- -> Cr
15,Fe2+/Fe,Fe2+,Fe,-0.447,0.0,298.15,mp-19006,mp-13,Fm-3m,Im-3m,Cubic,Cubic,10.1063/1.555839,Fe2+ + ne- -> Fe
16,Cd2+/Cd,Cd2+,Cd,-0.403,0.0,298.15,mp-1519,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Cd2+ + ne- -> Cd
17,Co2+/Co,Co2+,Co,-0.28,0.0,298.15,mp-1024,mp-54,Fm-3m,P63/mmc,Cubic,Hexagonal,10.1063/1.555839,Co2+ + ne- -> Co
18,Ni2+/Ni,Ni2+,Ni,-0.257,0.0,298.15,mp-1024,mp-23,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Ni2+ + ne- -> Ni
19,Sn2+/Sn,Sn2+,Sn,-0.14,0.0,298.15,mp-117,mp-1018,P63/mmc,I41/amd,Hexagonal,Tetragonal,10.1063/1.555839,Sn2+ + ne- -> Sn
20,Pb2+/Pb,Pb2+,Pb,-0.126,0.0,298.15,mp-1518,mp-1018,P63/mmc,Fm-3m,Hexagonal,Cubic,10.1063/1.555839,Pb2+ + ne- -> Pb
21,H+/H2,H+,H2,0.0,0.0,298.15,N/A,N/A,N/A,N/A,N/A,N/A,10.1063/1.555839,H+ + ne- -> H2
22,Cu2+/Cu,Cu2+,Cu,0.342,0.0,298.15,mp-19009,mp-30,Pnma,Fm-3m,Orthorhombic,Cubic,10.1063/1.555839,Cu2+ + ne- -> Cu
23,Cu+/Cu,Cu+,Cu,0.521,0.0,298.15,mp-1833,mp-30,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Cu+ + ne- -> Cu
24,Fe3+/Fe2+,Fe3+,Fe2+,0.771,0.0,298.15,mp-19770,mp-19006,R-3c,Fm-3m,Rhombohedral,Cubic,10.1063/1.555839,Fe3+ + ne- -> Fe2+
25,Ag+/Ag,Ag+,Ag,0.799,0.0,298.15,mp-124,mp-124,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Ag+ + ne- -> Ag
